tissue,mode,sex,week,animal,area,log2
Adrenal,HILIC-pos,Female,0,90245,405815.5165328212,18.630464502658505
Adrenal,HILIC-pos,Female,0,90252,170198.3282476647,17.37685734083408
Adrenal,HILIC-pos,Female,0,90248,311665.04032597644,18.2496368104172
Adrenal,HILIC-pos,Female,0,90266,710864.2990573253,19.43921465627565
Adrenal,HILIC-pos,Female,0,90265,456981.96328563086,18.801777698818864
Adrenal,HILIC-pos,Female,1,90559,203561.52751249232,17.635105396795144
Adrenal,HILIC-pos,Female,1,90560,589130.5521023995,19.168227847032803
Adrenal,HILIC-pos,Female,1,90564,870834.3828339998,19.73203884448572
Adrenal,HILIC-pos,Female,1,90567,223821.20368565217,17.771987190836466
Adrenal,HILIC-pos,Female,1,90571,77729.60644538415,16.24617659126359
Adrenal,HILIC-pos,Female,2,90576,642289.9787735227,19.29286526163878
Adrenal,HILIC-pos,Female,2,90578,422741.8387262982,18.68941737728555
Adrenal,HILIC-pos,Female,2,90581,741007.6903622563,19.499128989693855
Adrenal,HILIC-pos,Female,2,90585,811883.9579650707,19.63091401313804
Adrenal,HILIC-pos,Female,2,90587,787969.3072928975,19.58777990985614
Adrenal,HILIC-pos,Female,4,90406,332291.92901654256,18.342091726512145
Adrenal,HILIC-pos,Female,4,90410,1035301.5767667856,19.98161964616108
Adrenal,HILIC-pos,Female,4,90412,587169.9419543509,19.163418590943337
Adrenal,HILIC-pos,Female,4,90416,1008758.3629875248,19.944149203363157
Adrenal,HILIC-pos,Female,4,90420,523462.97743186314,18.997727978805443
Adrenal,HILIC-pos,Female,8,90251,382653.7476714856,18.545680003774535
Adrenal,HILIC-pos,Female,8,90254,503792.12518620153,18.942469045807087
Adrenal,HILIC-pos,Female,8,90258,453374.61454711686,18.79034408807334
Adrenal,HILIC-pos,Female,8,90259,442599.2189633399,18.75564137971331
Adrenal,HILIC-pos,Female,8,90267,530023.2677385602,19.01569616904512
Adrenal,HILIC-pos,Male,0,90217,143522.50061769036,17.130917406354232
Adrenal,HILIC-pos,Male,0,90232,327877.99851418874,18.322799570741083
Adrenal,HILIC-pos,Male,0,90229,255151.2185813847,17.960993006369428
