tissue,mode,platform,peak_week,female_delta,female_p,male_delta,male_p,selfree_q,selaware_p
Adrenal,HILIC-pos,HILIC,2,2.4,0.0079,1.76,0.0079,0.003,0.0378
Colon,HILIC-pos,HILIC,2,-0.34,0.4206,-0.58,0.0079,0.004,0.3237
Cortex,HILIC-pos,HILIC,2,-0.51,0.1508,-0.62,0.0159,0.0578,0.186
Hypothalamus,HILIC-pos,HILIC,4,0.38,0.2222,-0.59,0.0357,0.6203,0.9478
Ovaries,HILIC-pos,HILIC,4,-0.52,0.4206,,,0.3978,0.6089
Small Intestine,HILIC-pos,HILIC,4,-0.7,0.0952,-0.4,0.3095,0.3691,0.7411
Spleen,HILIC-pos,HILIC,2,-1.03,0.0556,-1.69,0.0317,0.0578,0.9726
Testes,HILIC-pos,HILIC,1,,,-0.79,0.1508,0.1282,0.7566
Vastus Lateralis,HILIC-pos,HILIC,1,-0.86,0.0079,-0.87,0.3095,0.0722,0.6597
Vena Cava,HILIC-pos,HILIC,4,-0.2,0.6857,-0.95,0.5556,0.3414,0.9102
Brown Adipose,RP-neg,RP,8,0.458,0.8857,2.581,0.3929,0.8132,0.1836
Gastrocnemius,RP-neg,RP,4,1.206,0.3095,0.0,0.8413,0.532,0.1798
Heart,RP-neg,RP,2,0.049,0.8413,0.353,0.4206,0.8908,0.6275
Hippocampus,RP-neg,RP,2,-0.148,1.0,0.058,0.5476,0.6407,0.7988
Kidney,RP-neg,RP,8,-0.74,0.5476,-0.164,0.8413,0.6407,0.9712
Liver,RP-neg,RP,8,1.025,0.1508,-0.14,0.6905,0.1461,0.5937
Lung,RP-neg,RP,1,1.086,0.2222,0.806,0.6905,0.1284,0.1282
Plasma,RP-neg,RP,1,0.748,0.0079,0.298,0.4206,0.2777,0.0318
White Adipose,RP-neg,RP,4,1.7,0.0079,1.366,0.0361,0.2777,0.0312
Brown Adipose,RP-pos,RP,2,0.0,0.3017,0.0,0.1797,0.9938,0.6341
Gastrocnemius,RP-pos,RP,4,0.754,0.2045,-0.737,0.0556,0.3748,0.7453
Heart,RP-pos,RP,2,0.95,0.0079,0.845,0.1508,0.0144,0.031
Hippocampus,RP-pos,RP,8,-0.301,0.6905,0.855,0.6905,0.9483,0.8728
Kidney,RP-pos,RP,8,-0.03,1.0,-0.116,0.8413,0.0036,0.8064
Liver,RP-pos,RP,1,-1.279,0.5476,1.132,0.0556,0.1461,0.6403
Lung,RP-pos,RP,4,1.186,0.4206,-0.531,0.6905,0.5295,0.7489
Plasma,RP-pos,RP,1,0.892,0.0556,0.87,0.6905,0.4091,0.3341
White Adipose,RP-pos,RP,2,0.0,0.4206,0.0,1.0,0.8132,0.2088
