tissue,platform,study_id,tag,group,timepoint,sex,animal,weeks,area,ppm
Brown Adipose,RP-neg,ST002686,bio_90217016906,Control,8 weeks of training or control time,Male,90217016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90222016906,Training,8 weeks of training or control time,Male,90222016906,8,6.460479838307638,-4.437022381196282
Brown Adipose,RP-neg,ST002686,bio_90225016906,Training,8 weeks of training or control time,Male,90225016906,8,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90227016906,Training,8 weeks of training or control time,Male,90227016906,8,5.682503869120185,-0.7505036182013183
Brown Adipose,RP-neg,ST002686,bio_90229016906,Control,8 weeks of training or control time,Male,90229016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90232016906,Control,8 weeks of training or control time,Male,90232016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90237016906,Control,8 weeks of training or control time,Male,90237016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90239016906,Control,8 weeks of training or control time,Male,90239016906,0,5.777949598693858,0.9035885745136161
Brown Adipose,RP-neg,ST002686,bio_90248016906,Control,8 weeks of training or control time,Female,90248016906,0,8.771935131835964,3.1924804283249957
Brown Adipose,RP-neg,ST002686,bio_90251016906,Training,8 weeks of training or control time,Female,90251016906,8,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90252016906,Control,8 weeks of training or control time,Female,90252016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90254016906,Training,8 weeks of training or control time,Female,90254016906,8,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90258016906,Training,8 weeks of training or control time,Female,90258016906,8,8.507812042109165,8.395317467276382
Brown Adipose,RP-neg,ST002686,bio_90265016906,Control,8 weeks of training or control time,Female,90265016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90266016906,Control,8 weeks of training or control time,Female,90266016906,0,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90267016906,Training,8 weeks of training or control time,Female,90267016906,8,1.791404492441831,6.162085413963368
Brown Adipose,RP-neg,ST002686,bio_90280016906,Training,4 weeks of training,Male,90280016906,4,2.4959319702148686,5.097521722264737
Brown Adipose,RP-neg,ST002686,bio_90281016906,Training,4 weeks of training,Male,90281016906,4,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90283016906,Training,4 weeks of training,Male,90283016906,4,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90289016906,Training,4 weeks of training,Male,90289016906,4,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90292016906,Training,4 weeks of training,Male,90292016906,4,2.06736361414588,5.126152352589412
Brown Adipose,RP-neg,ST002686,bio_90406016906,Training,4 weeks of training,Female,90406016906,4,1.9182269332885933,3.544726720451136
Brown Adipose,RP-neg,ST002686,bio_90410016906,Training,4 weeks of training,Female,90410016906,4,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90412016906,Training,4 weeks of training,Female,90412016906,4,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90416016906,Training,4 weeks of training,Female,90416016906,4,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90420016906,Training,4 weeks of training,Female,90420016906,4,1.9217044359842614,-1.979017227050392
Brown Adipose,RP-neg,ST002686,bio_90421016906,Training,1 week of training or control time,Male,90421016906,1,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90422016906,Training,1 week of training or control time,Male,90422016906,1,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90423016906,Training,1 week of training or control time,Male,90423016906,1,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90426016906,Training,1 week of training or control time,Male,90426016906,1,3.787764133453357,-4.732929494372048
Brown Adipose,RP-neg,ST002686,bio_90430016906,Training,1 week of training or control time,Male,90430016906,1,6.1330701496124185,3.603994825262856
Brown Adipose,RP-neg,ST002686,bio_90439016906,Training,2 weeks of training,Male,90439016906,2,1.713738023630795,7.9201264188119955
Brown Adipose,RP-neg,ST002686,bio_90441016906,Training,2 weeks of training,Male,90441016906,2,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90444016906,Training,2 weeks of training,Male,90444016906,2,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90449016906,Training,2 weeks of training,Male,90449016906,2,0.9497431939443302,9.320653284020594
Brown Adipose,RP-neg,ST002686,bio_90450016906,Training,2 weeks of training,Male,90450016906,2,1.8241599967956725,-9.134662147360899
Brown Adipose,RP-neg,ST002686,bio_90559016906,Training,1 week of training or control time,Female,90559016906,1,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90560016906,Training,1 week of training or control time,Female,90560016906,1,0.0,nan
Brown Adipose,RP-neg,ST002686,bio_90564016906,Training,1 week of training or control time,Female,90564016906,1,1.7533234077453788,0.3927443571685725
Brown Adipose,RP-neg,ST002686,bio_90567016906,Training,1 week of training or control time,Female,90567016906,1,0.0,nan
