tissue,study_id,animal,group,weeks,sex,area,MHplus_int,apex_rt,log2
Adrenal,ST002659,90217,Control,0,Male,143522.50061769036,460289.34375,3.8080931,17.130917406354232
Adrenal,ST002659,90218,Training,8,Male,101026.39370662675,311916.59375,3.7935781,16.624372728752242
Adrenal,ST002659,90222,Training,8,Male,181364.97059521693,2230234.0,1.70502,17.468536310520086
Adrenal,ST002659,90232,Control,0,Male,327877.99851418874,2988798.5,1.6964009,18.322799570741083
Adrenal,ST002659,90225,Training,8,Male,287278.22217018495,1576164.375,1.716151,18.13208910441851
Adrenal,ST002659,90223,Training,8,Male,131361.96427473114,551978.0625,3.834554,17.003188079657143
Adrenal,ST002659,90229,Control,0,Male,255151.2185813847,1992126.75,1.6980366,17.960993006369428
Adrenal,ST002659,90227,Training,8,Male,332994.26762107445,3573722.75,1.699161,18.345137816460582
Adrenal,ST002659,90237,Control,0,Male,96680.43837320259,363934.84375,3.8504396,16.560936394206642
Adrenal,ST002659,90239,Control,0,Male,359177.3538571885,2869453.0,1.7131803,18.45433686541822
Adrenal,ST002659,90245,Control,0,Female,405815.51653282123,3698466.75,1.706971,18.630464502658505
Adrenal,ST002659,90252,Control,0,Female,170198.3282476647,657031.1875,3.8077673,17.37685734083408
Adrenal,ST002659,90251,Training,8,Female,382653.7476714856,1649996.75,3.8050643,18.545680003774535
Adrenal,ST002659,90248,Control,0,Female,311665.04032597644,2997984.25,1.6989456,18.2496368104172
Adrenal,ST002659,90254,Training,8,Female,503792.12518620153,2571573.25,1.6944248,18.942469045807087
Adrenal,ST002659,90258,Training,8,Female,453374.61454711686,3227350.0,1.6859513,18.79034408807334
Adrenal,ST002659,90259,Training,8,Female,442599.2189633399,1808838.25,3.8114084,18.75564137971331
Adrenal,ST002659,90266,Control,0,Female,710864.2990573253,4648543.0,1.7075762,19.43921465627565
Adrenal,ST002659,90267,Training,8,Female,530023.2677385602,3568805.5,1.7075855,19.015696169045118
Adrenal,ST002659,90265,Control,0,Female,456981.96328563086,4539834.0,1.6931083,18.801777698818864
Adrenal,ST002659,90280,Training,4,Male,391874.5059973497,1619549.25,3.8226712,18.580032193670473
Adrenal,ST002659,90283,Training,4,Male,543141.8131034079,2944946.0,1.6944815,19.05096940607474
Adrenal,ST002659,90289,Training,4,Male,264179.7450081114,1123608.75,3.8462237,18.011160332026254
Adrenal,ST002659,90292,Training,4,Male,445763.58076673956,1890487.0,3.8065396,18.76591922653579
Adrenal,ST002659,90406,Training,4,Female,332291.92901654256,1497046.875,3.8095271,18.342091726512145
Adrenal,ST002659,90281,Training,4,Male,608296.4091480813,4764196.0,1.685428,19.214414962257536
Adrenal,ST002659,90410,Training,4,Female,1035301.5767667855,4472468.5,1.6988842,19.98161964616108
Adrenal,ST002659,90412,Training,4,Female,587169.9419543509,2915983.0,1.6931742,19.163418590943337
Adrenal,ST002659,90416,Training,4,Female,1008758.3629875248,3532836.75,1.686359,19.944149203363157
Adrenal,ST002659,90420,Training,4,Female,523462.97743186314,2722119.5,1.708177,18.997727978805443
Adrenal,ST002659,90421,Training,1,Male,581359.1486695894,3987596.0,1.6949677,19.14907017322017
Adrenal,ST002659,90423,Training,1,Male,238929.3860395553,942238.3125,3.8200247,17.86622477689717
Adrenal,ST002659,90426,Training,1,Male,604165.2944720838,5799991.5,1.7037772,19.20458378705103
