name,tier,mech_class,MW,cLogP,TPSA,HBD,HBA,RotB,AromRings,FracCsp3,QED,Lipinski_viol,Lipinski_pass,Veber_pass,BBB_flag,PubChem_CID,DB_record
Lac-Phe (parent),parent,parent,237.3,0.18,86.6,3,3,5,1,0.33,0.681,0,True,True,plausible,11075454,PubChem CID 11075454 (CAS 183241-73-8); no ChEMBL record
N-Me amide,amide-retaining,recognition-block,251.3,0.52,77.8,2,3,5,1,0.38,0.799,0,True,True,plausible,,none
alpha-Me-Phe,amide-retaining,recognition-block,251.3,0.57,86.6,3,3,5,1,0.38,0.714,0,True,True,plausible,,none
D-Phe,amide-retaining,recognition-block,237.3,0.18,86.6,3,3,5,1,0.33,0.681,0,True,True,plausible,,none
Reduced amide (CH2-NH),backbone-replacement,isostere-noC=O,223.3,0.65,69.6,3,3,6,1,0.42,0.662,0,True,True,plausible,,none
Thioamide (C=S),backbone-replacement,isostere-C=S,253.3,0.98,69.6,3,3,5,1,0.33,0.682,0,True,True,plausible,,none
"1,2,3-triazole",backbone-replacement,isostere-noC=O,261.3,1.2,88.2,2,4,5,2,0.31,0.844,0,True,True,plausible,,none
N-acylsulfonamide,backbone-replacement,isostere-acylsulfonamide,301.3,-0.49,120.8,3,5,6,1,0.33,0.652,0,True,True,unlikely,,none
Ketomethylene,backbone-replacement,isostere-noNH,236.3,1.27,74.6,2,3,6,1,0.38,0.78,0,True,True,plausible,,none
(E)-alkene,backbone-replacement,isostere-noC=O,220.3,1.87,57.5,2,2,5,1,0.31,0.745,0,True,True,plausible,,none
(E)-fluoroalkene,backbone-replacement,isostere-noC=O,238.3,2.16,57.5,2,2,5,1,0.31,0.826,0,True,True,plausible,,none
Retro-inverso,retro-inverso,reversed-amide,237.3,0.38,86.6,3,3,5,1,0.33,0.51,0,True,True,plausible,,none
