analysis,metric,member,value,detail
family,apex_rt_neg,Lac-Gly,0.64,clean=True
family,logP,Lac-Gly,-1.432,
family,spearman_r_vs_LacPhe_neg,Lac-Gly,-0.022,
family,dose_wk1_dlog2,Lac-Gly,0.013,MWU_p=0.678
family,dose_wk1_p,Lac-Gly,0.6776,
family,apex_rt_neg,Lac-Ala,0.72,clean=True
family,logP,Lac-Ala,-1.043,
family,spearman_r_vs_LacPhe_neg,Lac-Ala,-0.272,
family,dose_wk1_dlog2,Lac-Ala,0.034,MWU_p=0.791
family,dose_wk1_p,Lac-Ala,0.7913,
family,apex_rt_neg,Lac-Pro,4.255,clean=False
family,logP,Lac-Pro,-0.557,
family,spearman_r_vs_LacPhe_neg,Lac-Pro,0.255,
family,dose_wk1_dlog2,Lac-Pro,0.562,MWU_p=0.211
family,dose_wk1_p,Lac-Pro,0.2106,
family,apex_rt_neg,Lac-Val,2.875,clean=True
family,logP,Lac-Val,-0.407,
family,spearman_r_vs_LacPhe_neg,Lac-Val,-0.028,
family,dose_wk1_dlog2,Lac-Val,-0.13,MWU_p=0.850
family,dose_wk1_p,Lac-Val,0.8501,
family,apex_rt_neg,Lac-Leu/Ile,2.44,clean=True
family,logP,Lac-Leu/Ile,-0.017,
family,spearman_r_vs_LacPhe_neg,Lac-Leu/Ile,0.799,
family,dose_wk1_dlog2,Lac-Leu/Ile,0.486,MWU_p=0.009
family,dose_wk1_p,Lac-Leu/Ile,0.0091,
family,apex_rt_neg,Lac-Met,1.52,clean=True
family,logP,Lac-Met,-0.31,
family,spearman_r_vs_LacPhe_neg,Lac-Met,0.825,
family,dose_wk1_dlog2,Lac-Met,0.838,MWU_p=0.014
family,dose_wk1_p,Lac-Met,0.014,
family,apex_rt_neg,Lac-Phe,3.185,clean=True
family,logP,Lac-Phe,0.179,
family,spearman_r_vs_LacPhe_neg,Lac-Phe,1.0,
family,dose_wk1_dlog2,Lac-Phe,0.515,MWU_p=0.011
family,dose_wk1_p,Lac-Phe,0.0113,
family,apex_rt_neg,Lac-Tyr,1.905,clean=True
family,logP,Lac-Tyr,-0.115,
family,spearman_r_vs_LacPhe_neg,Lac-Tyr,0.696,
family,dose_wk1_dlog2,Lac-Tyr,0.63,MWU_p=0.076
family,dose_wk1_p,Lac-Tyr,0.0757,
family,apex_rt_neg,Lac-Trp,3.66,clean=True
family,logP,Lac-Trp,0.661,
family,spearman_r_vs_LacPhe_neg,Lac-Trp,0.835,
family,dose_wk1_dlog2,Lac-Trp,0.288,MWU_p=0.000
family,dose_wk1_p,Lac-Trp,0.0002,
family,RT_vs_logP_spearman,all_clean,0.857,"p=0.007,n=8"
adduct,h_at_lacphe_rt,[M-H]-,2494.6,present=True
adduct,h_at_lacphe_rt,[M+Cl]-,14.5,present=False
adduct,h_at_lacphe_rt,[M+HCOO]-,43.3,present=False
adduct,h_at_lacphe_rt,[M-H2O-H]-,8.3,present=False
adduct,h_at_lacphe_rt,[M+H]+,427.4,present=True
adduct,h_at_lacphe_rt,[M+K]+,775.9,present=True
adduct,h_at_lacphe_rt,[M+Na]+,49.5,present=False
adduct,h_at_lacphe_rt,[M+H-H2O]+,63.4,present=False
adduct,insource_frag_164_at_318_vs_236,164.0717,0.956,"Spearman p=4e-27,n=50"
adduct,mainPhe_164_at_293_vs_236,164.0717,-0.101,no correlation
rt_anchor,apex_rt_neg,Lactate,1.1,logP=-0.55
rt_anchor,apex_rt_neg,Tyr,1.74,logP=0.35
rt_anchor,apex_rt_neg,Phe,2.975,logP=0.64
rt_anchor,apex_rt_neg,Trp,3.605,logP=1.12
rt_anchor,apex_rt_neg,HPLA,3.805,logP=0.38
rt_anchor,lacphe_obs_rt,Lac-Phe,3.185,between Phe(2.98) and Trp(3.61)
rt_anchor,qsrr_spearman,anchors,0.7,"p=0.188,n=5"
isotope,M1_over_M_obs_pct,Lac-Phe,11.29,theory=13.5
isotope,M2_over_M_obs_pct,Lac-Phe,0.74,theory=1.6
isotope,M1_vs_M_spearman,Lac-Phe,0.787,"p=1.2e-11,n=50"
