key,authors,first_author,year,title,venue,doi,pmid,verified,arc_section
Amar2024,"Amar, David; MoTrPAC Study Group",Amar,2024,Temporal dynamics of the multi-omic response to endurance exercise training.,Nature,10.1038/s41586-023-06877-w,38693412,YES,iii
Bauhaus2025,"Bauhaus, H; Möller, T; Keller, S; Thomas, A; Braun, H; Wahl, P; Thevis, M",Bauhaus,2025,"Proof-of-concept of a prior validated LC-MS/MS method for detection of N-lactoyl-phenylalanine in dried blood spots before, during and after a performance diagnostic test of junior squad triathletes.",Frontiers in Sports and Active Living,10.3389/fspor.2025.1600714,41098478,YES,iv
Bilusic2026,"Bilusic, Marijo; Gannamedi, Durga Prasad; Challu, Bhipasha; Ferdous, Shomita; Mateo-Victoriano, Beatriz; Pokharel, Sheela; Bayik, Defne; Sharma, Janaki; Lombard, David B; Rai, Priyamvada",Bilusic,2026,"The anti-obesogenic metabolite, Lac-Phe, is elevated by metformin treatment in prostate cancer patients.",EMBO Molecular Medicine,10.1038/s44321-026-00408-6,41942753,YES,vi
Cui2024,"Cui, Xianyou; Anatolevna, Sidorenko Tatiana; Wang, Yu",Cui,2024,Deciphering Blood Flow Restriction Training to Aid Lipid Lowering in Obese College Students through Untargeted Metabolomics.,Metabolites,10.3390/metabo14080433,39195529,YES,vi
Elashi2025,"Elashi, Asma A; Razzaq, Aleem; Anwardeen, Najeha; Naja, Khaled; Alshafai, Mashael; Diboun, Ilhame; Albagha, Omar; Elrayess, Mohamed A",Elashi,2025,N-Lactoyl amino acids: insights from metabolite genome-wide association studies and phenome-wide association analysis.,Human Molecular Genetics,10.1093/hmg/ddaf152,41015949,YES,iv
Enko2025,"Enko, Dietmar; Meinitzer, Andreas; Dawczynski, Christine; Zelzer, Sieglinde; Pilz, Stefan; Niedrist, Tobias; Blanco, Giovanny; Herrmann, Markus",Enko,2025,The Exercise-Induced Appetite Suppressor N-Lactoyl-Phenylalanine is Linked with Glucose Metabolism,Clinical Laboratory,10.7754/Clin.Lab.2024.241016,,YES,vi
Everaert2012,"Everaert, Inge; De Naeyer, Hélène; Taes, Youri; Derave, Wim",Everaert,2012,Gene expression of carnosine-related enzymes and transporters in skeletal muscle,European Journal of Applied Physiology,10.1007/s00421-012-2540-4,,YES,ii
Ghias2025,"Ghias, Emaan; Pedersen, Mette Glavind Bülow; Nielsen, Camilla Bak; Bech, Louise Vase; Modvig, Ida Marie; Zubanovic, Natasa Brkovic; Seefeldt, Jacob Marthinsen; Nielsen, Roni R.; Søndergaard, Esben; Frisch, Kim; Hansen, Jakob; Holst, Jens Juul; Møller, Niels; Rittig, Nikolaj; Johannsen, Mogens",Ghias,2025,"Gut lactate increases circulating
                    l
                    -Lac-Phe and key metabolites linked to GLP-1 and human health",American Journal of Physiology-Endocrinology and Metabolism,10.1152/ajpendo.00037.2025,,YES,iv
Glatz2025,"Glatz, Ulrike; Müller, Alexander; Moser, Othmar; Aberer, Felix; Niedrist, Tobias; Herrmann, Markus; Zelzer, Sieglinde; Jaruan, Onanong; Sourij, Caren; Osto, Elena; Oettl, Karl; Paar, Margret; Pieber, Thomas; Pferschy, Peter; Tripolt, Norbert; Aziz, Faisal; Sourij, Harald",Glatz,2025,Acute and prolonged effects of aerobic endurance training on N-lactoyl-phenylalanine and inflammatory markers in individuals with type 1 diabetes: An exploratory analysis of the ULTRAFLEXI-1 study.,"Diabetes, Obesity and Metabolism",10.1111/dom.70236,41159435,YES,iv
Hinton2024,"Hinton, Antentor; Neikirk, Kit; Le, Han; Oliver, Ashton; Harris, Chanel; Martin, Pamela; Gaye, Amadou",Hinton,2024,N-lactoyl phenylalanine suppresses appetite and obesity with important implications for aging and age-related diseases.,Aging Advances,10.4103/agingadv.agingadv-d-24-00011,39845129,YES,i
Hoene2022,"Hoene, Miriam; Zhao, Xinjie; Machann, Jürgen; Birkenfeld, Andreas L; Heni, Martin; Peter, Andreas; Niess, Andreas; Moller, Anja; Lehmann, Rainer; Xu, Guowang; Weigert, Cora",Hoene,2022,Exercise-Induced N-Lactoylphenylalanine Predicts Adipose Tissue Loss during Endurance Training in Overweight and Obese Humans.,Metabolites,10.3390/metabo13010015,36676940,YES,i
Hsu2026,"Hsu, Julia Chu-Ning; Chen, Chia-Hui; Chen, Ming-Wei; Chen, Wen-Hua; Lee, Tzong-Shyuan",Hsu,2026,The Emerging Role of N-Lactoyl-Phenylalanine (Lac-Phe) in Metabolic Regulation and Disease: From Exercise-Induced Metabolite to Therapeutic Candidate.,Antioxidants,10.3390/antiox15040441,42072083,YES,vi
Jansen2015,"Jansen, Robert S; Addie, Ruben; Merkx, Remco; Fish, Alexander; Mahakena, Sunny; Bleijerveld, Onno B; Altelaar, Maarten; IJlst, Lodewijk; Wanders, Ronald J; Borst, P; van de Wetering, Koen",Jansen,2015,N-lactoyl-amino acids are ubiquitous metabolites that originate from CNDP2-mediated reverse proteolysis of lactate and amino acids.,Proceedings of the National Academy of Sciences,10.1073/pnas.1424638112,25964343,YES,ii
Jermei2025,"Jermei, Jarne; Jiao, Han; Shiba, Ayano; Goedhart, Julia C; Tandari, Roberta; Kalsbeek, Andries; Struys, Eduard A; Yi, Chun-Xia",Jermei,2025,High-Calorie Diet Consumption Induces Lac-Phe Changes in the Brain in a Time-of-Day Manner Independent of Exercise.,Metabolites,10.3390/metabo15060375,40559399,YES,iv
Li2022,"Li, Veronica L; He, Yang; Contrepois, Kévin; Liu, Hailan; Kim, Joon T; Wiggenhorn, Amanda L; Tanzo, Julia T; Tung, Alan Sheng-Hwa; Lyu, Xuchao; Zushin, Peter-James H; Jansen, Robert S; Michael, Basil; Loh, Kang Yong; Yang, Andrew C; Carl, Christian S; Voldstedlund, Christian T; Wei, Wei; Terrell, Stephanie M; Moeller, Benjamin C; Arthur, Rick M; Wallis, Gareth A; van de Wetering, Koen; Stahl, Andreas; Kiens, Bente; Richter, Erik A; Banik, Steven M; Snyder, Michael P; Xu, Yong; Long, Jonathan Z",Li,2022,An exercise-inducible metabolite that suppresses feeding and obesity.,Nature,10.1038/s41586-022-04828-5,35705806,YES,i
Li2023,"Li, Shuoqi; Guo, Rong; Wang, Juncheng; Zheng, Xinyu; Zhao, Shuo; Zhang, Zhiru; Yu, Wenbing; Li, Shiming; Zheng, Peng",Li,2023,The effect of blood flow restriction exercise on N-lactoylphenylalanine and appetite regulation in obese adults: a cross-design study.,Frontiers in Endocrinology,10.3389/fendo.2023.1289574,38116312,YES,iv
Li2024a,"Li, Veronica L; Xiao, Shuke; Schlosser, Pascal; Scherer, Nora; Wiggenhorn, Amanda L; Spaas, Jan; Tung, Alan Sheng-Hwa; Karoly, Edward D; Köttgen, Anna; Long, Jonathan Z",Li,2024,SLC17A1/3 transporters mediate renal excretion of Lac-Phe in mice and humans.,Nature Communications,10.1038/s41467-024-51174-3,39134528,YES,v
