assay,feature_ID,chrom,start,end,methyl_tile_id,tss_distance,region,tissues_assayed,training_significant,sig_tissues,timewise_logFC,direction,peak_timepoint,sex,training_p_value,training_q,note
ATAC,chr18:81519349-81520274,chr18,81519349.0,81520274.0,,-1694,promoter_proximal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81520682-81520882,chr18,81520682.0,81520882.0,,-1086,promoter_proximal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81520888-81521336,chr18,81520888.0,81521336.0,,-632,promoter_proximal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81522039-81522422,chr18,81522039.0,81522422.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81522483-81522683,chr18,81522483.0,81522683.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81522693-81523113,chr18,81522693.0,81523113.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81524994-81525299,chr18,81524994.0,81525299.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81525485-81525762,chr18,81525485.0,81525762.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81525763-81526326,chr18,81525763.0,81526326.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81526358-81526944,chr18,81526358.0,81526944.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81529021-81529244,chr18,81529021.0,81529244.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81529280-81529492,chr18,81529280.0,81529492.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81529844-81530155,chr18,81529844.0,81530155.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81530989-81531278,chr18,81530989.0,81531278.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81531627-81531923,chr18,81531627.0,81531923.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81532208-81532421,chr18,81532208.0,81532421.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81532728-81532951,chr18,81532728.0,81532951.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81535397-81535667,chr18,81535397.0,81535667.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81538463-81539274,chr18,81538463.0,81539274.0,,0,gene_body,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81539307-81539553,chr18,81539307.0,81539553.0,,242,downstream_proximal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81541253-81542171,chr18,81541253.0,81542171.0,,2188,downstream_distal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81545865-81546091,chr18,81545865.0,81546091.0,,6800,downstream_distal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81547707-81547962,chr18,81547707.0,81547962.0,,8642,downstream_distal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81549788-81550107,chr18,81549788.0,81550107.0,,10723,downstream_distal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81550370-81550604,chr18,81550370.0,81550604.0,,11305,downstream_distal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81553938-81554348,chr18,81553938.0,81554348.0,,14873,downstream_distal,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",NO,,,,,,,,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
