assay,feature_ID,chrom,start_bp,end_bp,methyl_tile_id,region_stranded,tss_distance_5prime_bp,upstream_far_bp,straddles_TSS,cpg_island,overlaps_promoter_CpG_island,overlaps_genebody_CpG_island,in_promoter_window,training_significant,sig_tissues,tissues_assayed,region_manuscript,tss_distance_manuscript_strandnaive,note
ATAC,chr18:81519349-81520274,chr18,81519349,81520274,,downstream_3prime,-18791,-18791,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",promoter_proximal,-1694,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81520682-81520882,chr18,81520682,81520882,,downstream_3prime,-18183,-18183,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",promoter_proximal,-1086,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81520888-81521336,chr18,81520888,81521336,,downstream_3prime,-17729,-17729,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",promoter_proximal,-632,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81522039-81522422,chr18,81522039,81522422,,gene_body,-16643,-17026,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81522483-81522683,chr18,81522483,81522683,,gene_body,-16382,-16582,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81522693-81523113,chr18,81522693,81523113,,gene_body,-15952,-16372,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81524994-81525299,chr18,81524994,81525299,,gene_body,-13766,-14071,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81525485-81525762,chr18,81525485,81525762,,gene_body,-13303,-13580,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81525763-81526326,chr18,81525763,81526326,,gene_body,-12739,-13302,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81526358-81526944,chr18,81526358,81526944,,gene_body,-12121,-12707,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81529021-81529244,chr18,81529021,81529244,,gene_body,-9821,-10044,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81529280-81529492,chr18,81529280,81529492,,gene_body,-9573,-9785,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81529844-81530155,chr18,81529844,81530155,,gene_body,-8910,-9221,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81530989-81531278,chr18,81530989,81531278,,gene_body,-7787,-8076,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81531627-81531923,chr18,81531627,81531923,,gene_body,-7142,-7438,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81532208-81532421,chr18,81532208,81532421,,gene_body,-6644,-6857,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81532728-81532951,chr18,81532728,81532951,,gene_body,-6114,-6337,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81535397-81535667,chr18,81535397,81535667,,gene_body,-3398,-3668,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81538463-81539274,chr18,81538463,81539274,,promoter_TSS_straddle,0,209,True,CpG:50/23(promoter_TSS),True,False,True,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81539307-81539553,chr18,81539307,81539553,,promoter_upstream,242,488,False,,False,False,True,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_proximal,242,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81541253-81542171,chr18,81541253,81542171,,promoter_upstream,2188,3106,False,,False,False,True,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_distal,2188,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81545865-81546091,chr18,81545865,81546091,,promoter_upstream,6800,7026,False,,False,False,True,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_distal,6800,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81547707-81547962,chr18,81547707,81547962,,promoter_upstream,8642,8897,False,,False,False,True,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_distal,8642,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81549788-81550107,chr18,81549788,81550107,,promoter_upstream,10723,11042,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_distal,10723,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81550370-81550604,chr18,81550370,81550604,,promoter_upstream,11305,11539,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_distal,11305,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
ATAC,chr18:81553938-81554348,chr18,81553938,81554348,,promoter_upstream,14873,15283,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",downstream_distal,14873,not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES; only 5%-FDR-significant subset is public per-tissue
METHYL,chr18-163047_cluster1,chr18,81523500,81524000,chr18-163047,gene_body,-15065,-15565,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster2,chr18,81523500,81524000,chr18-163047,gene_body,-15065,-15565,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster3,chr18,81523500,81524000,chr18-163047,gene_body,-15065,-15565,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster4,chr18,81523500,81524000,chr18-163047,gene_body,-15065,-15565,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster5,chr18,81523500,81524000,chr18-163047,gene_body,-15065,-15565,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163047_cluster6,chr18,81523500,81524000,chr18-163047,gene_body,-15065,-15565,False,,False,False,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster1,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster10,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster11,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster12,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster13,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster14,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster15,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster16,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster17,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster18,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster19,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster2,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster20,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster21,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster22,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster23,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster24,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster25,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster3,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
METHYL,chr18-163049_cluster4,chr18,81524500,81525000,chr18-163049,gene_body,-14065,-14565,False,CpG:20(gene_body),False,True,False,NO,,"BAT,HEART,HIPPOC,KIDNEY,LIVER,LUNG,SKMGN,WATSC",gene_body,0,"RRBS methylation cluster; bp start/end not available (only cluster feature_ID is public); methyl_tile_id holds the chrN-<tile> token from feature_ID (a tile identifier, not bp); not present in any 05FDR object; not in TRAINING_REGULATED_FEATURES"
